SampleName,ImagePath,Width,Height,Category,Goal,BaselinePipeline,ValidationMode,ExpectedMetricName,ExpectedMetricMinimum,ExpectedMetricMaximum,Notes,ReferenceImagePath,PairGroup,PairRole
Product_Battery_TabGap_Good,docs\samples\public\product\Battery_TabGap_OK.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Measure the spacing between two battery tab edges.",docs\samples\public\product\Product_Battery_TabGap_Distance.pipeline.xml,Required,DistanceMmAvg,0.20,0.25,"Public-safe secondary-battery tab gap benchmark. The line tool should measure a normal spacing band.",,Battery_TabGap,Good
Product_Battery_TabGap_Narrow_Bad,docs\samples\public\product\Battery_TabGap_Narrow_NG.png,572,420,Product Synthetic / Secondary Battery / LineDistance,"Reject a battery tab gap that is too narrow.",docs\samples\public\product\Product_Battery_TabGap_Distance.pipeline.xml,ExpectedFailure,DistanceMmAvg,0.09,0.14,"Controlled NG benchmark for battery tab spacing. The same LineDistance pipeline should fail because the measured gap is below the normal band.",,Battery_TabGap,Bad
Product_Battery_WeldSpatter_Good,docs\samples\public\product\Battery_WeldSpatter_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count bright weld-spatter candidates near a battery weld.",docs\samples\public\product\Product_Battery_WeldSpatter_Blob.pipeline.xml,Required,ResultCount,3,8,"Public-safe secondary-battery weld benchmark. A few bright candidates remain acceptable.",,Battery_WeldSpatter,Good
Product_Battery_WeldSpatter_Heavy_Bad,docs\samples\public\product\Battery_WeldSpatter_Heavy_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery weld with too many bright spatter candidates.",docs\samples\public\product\Product_Battery_WeldSpatter_Blob.pipeline.xml,ExpectedFailure,ResultCount,10,16,"Controlled NG benchmark for battery weld spatter count.",,Battery_WeldSpatter,Bad
Product_Battery_WeldOverburn_Good,docs\samples\public\product\Battery_WeldOverburn_OK.png,572,420,Product Synthetic / Secondary Battery / Blob,"Count bright overburn hot-spot candidates around a battery tab weld.",docs\samples\public\product\Product_Battery_WeldOverburn_Blob.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery weld overburn benchmark. One small hot spot remains inside the review band.",,Battery_WeldOverburn,Good
Product_Battery_WeldOverburn_Many_Bad,docs\samples\public\product\Battery_WeldOverburn_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Blob,"Reject a battery tab weld with several overburn hot spots.",docs\samples\public\product\Product_Battery_WeldOverburn_Blob.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for battery weld-overburn count.",,Battery_WeldOverburn,Bad
Product_Battery_TabTear_Good,docs\samples\public\product\Battery_TabTear_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count torn-tab edge candidates on a battery tab row.",docs\samples\public\product\Product_Battery_TabTear_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery tab-tear benchmark. One small tear candidate remains inside the review band.",,Battery_TabTear,Good
Product_Battery_TabTear_Many_Bad,docs\samples\public\product\Battery_TabTear_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery tab row with several torn-tab candidates.",docs\samples\public\product\Product_Battery_TabTear_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for battery tab-tear count.",,Battery_TabTear,Bad
Product_Battery_TabPlatingPeel_Good,docs\samples\public\product\Battery_TabPlatingPeel_OK.png,572,420,Product Synthetic / Secondary Battery / Contour,"Count tab plating peel candidates on a battery tab row.",docs\samples\public\product\Product_Battery_TabPlatingPeel_Contour.pipeline.xml,Required,ResultCount,0,1,"Public-safe secondary-battery tab-plating peel benchmark. One small peel candidate remains inside the review band.",,Battery_TabPlatingPeel,Good
Product_Battery_TabPlatingPeel_Many_Bad,docs\samples\public\product\Battery_TabPlatingPeel_Many_NG.png,572,420,Product Synthetic / Secondary Battery / Contour,"Reject a battery tab row with several plating-peel candidates.",docs\samples\public\product\Product_Battery_TabPlatingPeel_Contour.pipeline.xml,ExpectedFailure,ResultCount,4,7,"Controlled NG benchmark for battery tab-plating peel count.",,Battery_TabPlatingPeel,Bad
