Key	Korean	English
PropertyGrid.Type.EdgeBasedMatchingProperty.USE_UNIQUE_MATCH_VALIDATION.DisplayName	고유 매칭 요구	Require unique match
PropertyGrid.Type.EdgeBasedMatchingProperty.USE_UNIQUE_MATCH_VALIDATION.Description	공간적으로 분리된 후보가 정확히 하나일 때만 통과합니다. 내부 후보 Top-K를 유지하며 점수 여유 기준을 통과하지 못하면 결과 없이 Ambiguous로 종료합니다.	Require exactly one spatially distinct candidate. This opt-in mode keeps internal Top-K candidates and returns Ambiguous with no match when the score-margin gate fails.
PropertyGrid.Type.EdgeBasedMatchingProperty.UNIQUE_MATCH_MIN_SCORE_MARGIN.DisplayName	최소 고유 점수 여유	Min unique margin
PropertyGrid.Type.EdgeBasedMatchingProperty.UNIQUE_MATCH_MIN_SCORE_MARGIN.Description	선택 후보와 가장 강한 공간 분리 후보 사이에 요구하는 정규화 0..1 점수 차이입니다. 고유 매칭 요구를 켰을 때만 사용합니다.	Minimum normalized 0..1 score difference between the selected candidate and the strongest spatially distinct candidate. Used only when Require unique match is enabled.
PropertyGrid.Category.Auto_MPoint	자동 MPoint	Auto MPoint
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_USE_ANALYSIS_ROI.DisplayName	분석 ROI 사용	Use analysis ROI
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_USE_ANALYSIS_ROI.Description	검토한 분석 ROI 안에서만 자동 패턴 후보를 찾습니다. 이 학습 설정을 바꿔도 매칭 미리보기는 자동 실행되지 않습니다.	Restrict automatic pattern candidate analysis to the reviewed analysis ROI. This teaching option never runs matching Preview by itself.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_ANALYSIS_ROI.DisplayName	분석 ROI	Analysis ROI
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_ANALYSIS_ROI.Description	Auto MPoint가 식별력 있는 패턴 후보를 찾을 원본 이미지 영역입니다.	Optional source-image region in which Auto MPoint searches for distinctive pattern candidates.
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_PATTERN_WIDTH.DisplayName	패턴 너비	Pattern width
PropertyGrid.Type.EdgeBasedMatchingProperty.AUTO_MPOINT_PATTERN_WIDTH.Description	각 후보 패턴 창의 픽셀 너비입니다.	Width in pixels of each candidate pattern window.
